code,theme,enabled,note,name_zh,market,official_industry,current_themes
4558,電機機械 / 綜合,1,current classified theme,寶緯,TPEx,電機機械,電機機械 / 綜合
4560,電機機械 / 綜合,1,current classified theme,強信-KY,TWSE,電機機械,電機機械 / 綜合
4561,電機機械 / 綜合,1,current classified theme,健椿,TPEx,電機機械,電機機械 / 綜合
4562,電機機械 / 綜合,1,current classified theme,穎漢,TWSE,電機機械,電機機械 / 綜合
4563,電機機械 / 綜合,1,current classified theme,百德,TPEx,電機機械,電機機械 / 綜合
4564,電機機械 / 綜合,1,current classified theme,元翎,TWSE,電機機械,電機機械 / 綜合
4566,電機機械 / 綜合,1,current classified theme,時碩工業,TWSE,電機機械,電機機械 / 綜合
4568,電機機械 / 綜合,1,current classified theme,科際精密,TPEx,電機機械,電機機械 / 綜合
4569,汽車零組件 / 綜合,1,current classified theme,六方科-KY,TWSE,汽車工業,汽車零組件 / 綜合
4571,電機機械 / 綜合,1,current classified theme,鈞興-KY,TWSE,電機機械,電機機械 / 綜合
4572,電機機械 / 綜合,1,current classified theme,駐龍,TWSE,電機機械,電機機械 / 綜合
4576,機器人 / 自動化,1,current classified theme,大銀微系統,TWSE,電機機械,機器人 / 自動化
4577,電子設備整合 / 綜合,1,current classified theme,達航科技,TPEx,其他電子業,電子設備整合 / 綜合
4580,電機機械 / 綜合,1,current classified theme,捷流閥業,TPEx,電機機械,電機機械 / 綜合
4581,汽車零組件 / 綜合,1,current classified theme,光隆精密-KY,TWSE,汽車工業,汽車零組件 / 綜合
4583,電機機械 / 綜合,1,current classified theme,台灣精銳,TWSE,電機機械,電機機械 / 綜合
4584,電機機械 / 綜合,1,current classified theme,君帆,TPEx,電機機械,電機機械 / 綜合
4585,電子設備整合 / 綜合,1,current classified theme,達明,TWSE,其他電子業,電子設備整合 / 綜合
4588,電子設備整合 / 綜合,1,current classified theme,玖鼎電力,TWSE,其他電子業,電子設備整合 / 綜合
4590,電機機械 / 綜合,1,current classified theme,富田-創,TWSE,電機機械,電機機械 / 綜合
4609,居家生活 / 綜合,1,current classified theme,唐鋒,TPEx,居家生活,居家生活 / 綜合
4702,居家生活 / 綜合,1,current classified theme,中美實,TPEx,居家生活,居家生活 / 綜合
4706,基礎化工 / 溶劑,1,theme refinement v2,大恭,TPEx,化學工業,基礎化工 / 溶劑
4707,基礎化工 / 溶劑,1,theme refinement v2,磐亞,TPEx,化學工業,基礎化工 / 溶劑
4711,基礎化工 / 溶劑,1,theme refinement v2,永純,TPEx,化學工業,基礎化工 / 溶劑
4712,待確認 / 特殊標的,1,current classified theme,福格創新,TPEx,,待確認 / 特殊標的
4714,塗料 / 樹脂 / 接著劑,1,theme refinement v2,永捷,TPEx,化學工業,塗料 / 樹脂 / 接著劑
4716,基礎化工 / 溶劑,1,theme refinement v2,大立,TPEx,化學工業,基礎化工 / 溶劑
4720,塗料 / 樹脂 / 接著劑,1,theme refinement v2,德淵,TWSE,化學工業,塗料 / 樹脂 / 接著劑
4721,碳材料 / 電池材料,1,theme refinement v2,美琪瑪,TPEx,化學工業,碳材料 / 電池材料
4722,電子化學 / 特用化學,1,theme refinement v2,國精化,TWSE,化學工業,電子化學 / 特用化學
4726,生技醫療 / 綜合,1,current classified theme,永昕,TPEx,生技醫療業,生技醫療 / 綜合
4728,生技醫療 / 綜合,1,current classified theme,雙美,TPEx,生技醫療業,生技醫療 / 綜合
4729,光電業 / 其他,1,current classified theme,熒茂,TPEx,光電業,光電業 / 其他
4735,生技醫療 / 綜合,1,current classified theme,豪展,TPEx,生技醫療業,生技醫療 / 綜合
4736,生技醫療 / 綜合,1,current classified theme,泰博,TWSE,生技醫療業,生技醫療 / 綜合
4737,生技醫療 / 綜合,1,current classified theme,華廣,TWSE,生技醫療業,生技醫療 / 綜合
4739,碳材料 / 電池材料,1,theme refinement v2,康普,TWSE,化學工業,碳材料 / 電池材料
4741,電子化學 / 特用化學,1,theme refinement v2,泓瀚,TPEx,化學工業,電子化學 / 特用化學
4743,生技醫療 / 綜合,1,current classified theme,合一,TPEx,生技醫療業,生技醫療 / 綜合
4744,生技醫療 / 綜合,1,current classified theme,皇將,TPEx,生技醫療業,生技醫療 / 綜合
4745,醫療通路 / 醫材服務,1,theme singleton cleanup v3,合富-KY,TPEx,生技醫療業,醫療通路 / 醫材服務
4746,生技醫療 / 綜合,1,current classified theme,台耀,TWSE,生技醫療業,生技醫療 / 綜合
4747,生技醫療 / 綜合,1,current classified theme,強生製藥,TPEx,生技醫療業,生技醫療 / 綜合
4754,碳材料 / 電池材料,1,theme refinement v2,國碳科,TPEx,化學工業,碳材料 / 電池材料
4755,塗料 / 樹脂 / 接著劑,1,theme refinement v2,三福化,TWSE,化學工業,塗料 / 樹脂 / 接著劑
4760,電子設備整合 / 綜合,1,current classified theme,勤凱科技,TPEx,其他電子業,電子設備整合 / 綜合
4763,碳材料 / 電池材料,1,theme refinement v2,材料*-KY,TWSE,化學工業,碳材料 / 電池材料
4764,塗料 / 樹脂 / 接著劑,1,theme refinement v2,雙鍵,TWSE,化學工業,塗料 / 樹脂 / 接著劑
4766,塗料 / 樹脂 / 接著劑,1,theme refinement v2,南寶,TWSE,化學工業,塗料 / 樹脂 / 接著劑
4767,塗料 / 樹脂 / 接著劑,1,theme cleanup v4,誠泰科技,TPEx,化學工業,塗料 / 樹脂 / 接著劑
4768,電子化學 / 特用化學,1,theme refinement v2,晶呈科技,TPEx,化學工業,電子化學 / 特用化學
4770,電子化學 / 特用化學,1,theme cleanup v4,上品,TWSE,化學工業,電子化學 / 特用化學
4771,生技醫療 / 綜合,1,current classified theme,望隼,TWSE,生技醫療業,生技醫療 / 綜合
4804,觀光餐旅 / 綜合,1,current classified theme,大略-KY,TPEx,觀光餐旅,觀光餐旅 / 綜合
4806,文化創意 / 綜合,1,current classified theme,桂田文創,TPEx,文化創意業,文化創意 / 綜合
4807,零售貿易 / 綜合,1,current classified theme,日成-KY,TWSE,貿易百貨,零售貿易 / 綜合
4903,低軌衛星 / 微波通訊,1,current classified theme,聯光通,TPEx,通信網路業,低軌衛星 / 微波通訊
4904,通信網路 / 綜合,1,current classified theme,遠傳,TWSE,通信網路業,通信網路 / 綜合
4905,通信網路 / 綜合,1,current classified theme,台聯電,TPEx,通信網路業,通信網路 / 綜合
4906,網通 / 交換器,1,current classified theme,正文,TWSE,通信網路業,網通 / 交換器
4907,建材營造 / 綜合,1,current classified theme,富宇,TPEx,建材營造,建材營造 / 綜合
4908,矽光子 / CPO / 光通訊,1,current classified theme,前鼎,TPEx,通信網路業,矽光子 / CPO / 光通訊
4909,低軌衛星 / 微波通訊,1,current classified theme,新復興,TPEx,通信網路業,低軌衛星 / 微波通訊
4911,生技醫療 / 綜合,1,current classified theme,德英,TPEx,生技醫療業,生技醫療 / 綜合
4912,電子零組件 / 綜合,1,current classified theme,聯德控股-KY,TWSE,電子零組件業,電子零組件 / 綜合
4915,電子零組件 / 綜合,1,current classified theme,致伸,TWSE,電子零組件業,電子零組件 / 綜合
4916,電腦週邊設備 / 綜合,1,current classified theme,事欣科,TWSE,電腦及週邊設備業,電腦週邊設備 / 綜合
4919,功率半導體 / MCU,1,mcu exposure,新唐,TWSE,半導體業,功率半導體 / MCU
4923,半導體 / 綜合,1,current classified theme,力士,TPEx,半導體業,半導體 / 綜合
4924,電腦週邊設備 / 綜合,1,current classified theme,欣厚-KY,TPEx,電腦及週邊設備業,電腦週邊設備 / 綜合
4927,電子零組件 / 綜合,1,current classified theme,泰鼎-KY,TWSE,電子零組件業,電子零組件 / 綜合
4930,電器電纜 / 綜合,1,current classified theme,燦星網,TWSE,電器電纜,電器電纜 / 綜合
4931,BBU / 電源管理,1,current classified theme,新盛力,TPEx,電腦及週邊設備業,BBU / 電源管理
4933,光電業 / 其他,1,current classified theme,友輝,TPEx,光電業,光電業 / 其他
4934,太陽能 / 綠能光電,1,current classified theme,太極,TWSE,光電業,太陽能 / 綠能光電
4935,光電業 / 其他,1,current classified theme,茂林-KY,TWSE,光電業,光電業 / 其他
4938,電腦週邊設備 / 綜合,1,current classified theme,和碩,TWSE,電腦及週邊設備業,電腦週邊設備 / 綜合
4939,電子零組件 / 綜合,1,current classified theme,亞電,TPEx,電子零組件業,電子零組件 / 綜合
4942,光電業 / 其他,1,current classified theme,嘉彰,TWSE,光電業,光電業 / 其他
4943,電子零組件 / 綜合,1,current classified theme,康控-KY,TWSE,電子零組件業,電子零組件 / 綜合
4945,待確認 / 特殊標的,1,current classified theme,陞達科技,TPEx,,待確認 / 特殊標的
4946,文化創意 / 綜合,1,current classified theme,辣椒,TPEx,文化創意業,文化創意 / 綜合
4949,光電業 / 其他,1,current classified theme,有成精密,TWSE,光電業,光電業 / 其他
4950,鋼鐵材料 / 綜合,1,current classified theme,牧東,TPEx,鋼鐵工業,鋼鐵材料 / 綜合
4951,半導體 / 綜合,1,current classified theme,精拓科,TPEx,半導體業,半導體 / 綜合
4952,半導體 / 綜合,1,current classified theme,凌通,TWSE,半導體業,半導體 / 綜合
4953,資服 / AI Agent,1,current classified theme,緯軟,TPEx,資訊服務業,資服 / AI Agent
4956,光電業 / 其他,1,current classified theme,光鋐,TWSE,光電業,光電業 / 其他
4958,PCB / CCL,1,current classified theme,臻鼎-KY,TWSE,電子零組件業,PCB / CCL
4960,光電業 / 其他,1,current classified theme,誠美材,TWSE,光電業,光電業 / 其他
4961,ASIC / IC設計,1,current classified theme,天鈺,TWSE,半導體業,ASIC / IC設計
4966,半導體 / 綜合,1,current classified theme,譜瑞-KY,TPEx,半導體業,半導體 / 綜合
4967,記憶體模組,1,memory module exposure,十銓,TWSE,半導體業,記憶體模組
4968,半導體 / 綜合,1,current classified theme,立積,TWSE,半導體業,半導體 / 綜合
4971,半導體 / 綜合,1,current classified theme,IET-KY,TPEx,半導體業,半導體 / 綜合
4972,光電業 / 其他,1,current classified theme,湯石照明,TPEx,光電業,光電業 / 其他
4973,半導體 / 綜合,1,current classified theme,廣穎電通,TPEx,半導體業,半導體 / 綜合
4974,電子零組件 / 綜合,1,current classified theme,亞泰,TPEx,電子零組件業,電子零組件 / 綜合
4976,光電業 / 其他,1,current classified theme,佳凌,TWSE,光電業,光電業 / 其他
4977,矽光子 / CPO / 光通訊,1,current classified theme,眾達-KY,TWSE,通信網路業,矽光子 / CPO / 光通訊
4979,矽光子 / CPO / 光通訊,1,current classified theme,華星光,TPEx,通信網路業,矽光子 / CPO / 光通訊
4987,電腦週邊設備 / 綜合,1,current classified theme,科誠,TPEx,電腦及週邊設備業,電腦週邊設備 / 綜合
4989,電子零組件 / 綜合,1,current classified theme,榮科,TWSE,電子零組件業,電子零組件 / 綜合
4991,矽光子 / CPO / 光通訊,1,current classified theme,環宇-KY,TPEx,半導體業,矽光子 / CPO / 光通訊
4994,資訊服務 / 綜合,1,current classified theme,傳奇,TWSE,資訊服務業,資訊服務 / 綜合
4995,光電業 / 其他,1,current classified theme,晶達,TPEx,光電業,光電業 / 其他
4999,電子零組件 / 綜合,1,current classified theme,鑫禾,TWSE,電子零組件業,電子零組件 / 綜合
5007,扣件 / 特殊鋼,1,theme refinement v2,三星,TWSE,鋼鐵工業,扣件 / 特殊鋼
5009,扣件 / 特殊鋼,1,theme refinement v2,榮剛,TPEx,鋼鐵工業,扣件 / 特殊鋼
5011,扣件 / 特殊鋼,1,theme refinement v2,久陽,TPEx,鋼鐵工業,扣件 / 特殊鋼
5013,扣件 / 特殊鋼,1,theme refinement v2,強新,TPEx,鋼鐵工業,扣件 / 特殊鋼
5014,鋼板 / 鋼捲 / 不鏽鋼,1,theme refinement v2,建錩,TPEx,鋼鐵工業,鋼板 / 鋼捲 / 不鏽鋼
5015,扣件 / 特殊鋼,1,theme refinement v2,華祺,TPEx,鋼鐵工業,扣件 / 特殊鋼
5016,扣件 / 特殊鋼,1,theme refinement v2,松和,TPEx,鋼鐵工業,扣件 / 特殊鋼
5201,資訊服務 / 綜合,1,current classified theme,凱衛,TPEx,資訊服務業,資訊服務 / 綜合
5202,資訊服務 / 綜合,1,current classified theme,力新,TPEx,資訊服務業,資訊服務 / 綜合
